,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
0,0,Port Elizabeth,-33.92,25.57,68.0,82,0,13.87,ZA,1608059557,The Grand Hotel
1,1,Cabo San Lucas,22.89,-109.91,75.0,60,20,3.36,MX,1608059391,Waldorf Astoria Los Cabos Pedregal
2,2,Lebu,-37.62,-73.65,56.53,59,0,23.44,CL,1608059429,Hotel Plaza Lebu
3,3,Bredasdorp,-34.53,20.04,60.8,67,0,3.36,ZA,1608059558,Firlane House
4,4,Noshiro,40.2,140.02,28.96,89,99,21.16,JP,1608059558,Noshiro Town Hotel Minami
5,5,Dikson,73.51,80.55,-19.7,85,0,4.03,RU,1608059558,
6,6,San Miguel de Cozumel,20.51,-86.95,84.2,70,75,5.82,MX,1608059396,InterContinental Presidente Cozumel Resort Spa
7,7,Jamestown,42.1,-79.24,28.0,58,90,8.05,US,1608059559,Chautauqua Harbor Hotel
8,8,Mossamedes,-15.2,12.15,67.51,81,74,3.74,AO,1608059559,iu Hotel Namibe
9,9,Hobart,-42.88,147.33,55.4,54,90,14.99,AU,1608059384,"The Tasman, a Luxury Collection Hotel, Hobart"
10,10,Hilo,19.73,-155.09,73.4,78,1,5.82,US,1608059444,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
11,11,Kapaa,22.08,-159.32,77.0,78,20,11.41,US,1608059559,Hilton Garden Inn Kauai Wailua Bay
12,12,Nikolskoye,59.7,30.79,30.2,92,90,4.47,RU,1608059559,
13,13,Oranjemund,-28.55,16.43,63.46,78,0,23.2,,1608059559,Tom's cabin
14,14,Mogzon,51.74,111.96,-5.22,88,72,4.0,RU,1608059559,
15,15,Fort Morgan,40.25,-103.8,30.2,68,90,17.22,US,1608059560,Fairfield Inn & Suites by Marriott Fort Morgan
16,16,Barcelos,41.54,-8.62,55.4,76,20,23.04,PT,1608059560,Hotel Bagoeira
17,17,Sur,22.57,59.53,69.84,49,61,11.7,OM,1608059560,Sur Grand Hotel
18,18,Bandarbeyla,9.49,50.81,74.75,76,0,22.1,SO,1608059560,JABIR HOTEL
19,19,Barrow,71.29,-156.79,-5.8,76,1,20.8,US,1608059560,Top of the World Hotel
20,20,New Norfolk,-42.78,147.06,55.0,66,99,1.99,AU,1608059560,Tynwald Willow Bend Estate
21,21,Ostrovnoy,68.05,39.51,19.72,95,100,17.2,RU,1608059561,
22,22,Alofi,-19.06,-169.92,77.0,94,90,27.51,NU,1608059561,Taloa Heights
23,23,Borogontsy,62.67,131.17,-50.66,76,60,2.75,RU,1608059561,
24,24,Albany,42.6,-73.97,33.01,33,59,5.01,US,1608059432,
25,25,Ust'-Omchug,61.15,149.63,-19.14,83,85,11.16,RU,1608059561,
26,26,Hermanus,-34.42,19.23,61.0,77,0,7.72,ZA,1608059561,The Whale Coast Hotel
