,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bowling Green,36.99,-86.44,2.0,74,90,3.1,US,1607974100
1,Puerto Ayora,-0.74,-90.35,28.0,58,20,8.2,EC,1607974135
2,Vaini,-21.2,-175.2,23.0,100,90,4.6,TO,1607974135
3,Arlit,18.74,7.39,24.29,15,0,2.69,NE,1607974135
4,Moree,-29.47,149.85,20.0,68,40,3.6,AU,1607974135
5,Mataura,-46.19,168.86,12.22,84,13,6.26,NZ,1607973597
6,Cape Town,-33.93,18.42,19.44,77,20,4.6,ZA,1607974086
7,Saint-Pierre,-21.34,55.48,25.0,88,40,11.3,RE,1607973597
8,Albany,42.6,-73.97,1.67,81,100,0.75,US,1607973497
9,Blagoyevo,63.37,47.92,-9.94,97,98,1.7,RU,1607973597
10,Busselton,-33.65,115.33,9.44,85,0,5.71,AU,1607973598
11,Korla,41.76,86.15,-7.41,87,6,1.26,CN,1607973598
12,Cayenne,4.93,-52.33,30.0,66,20,4.6,GF,1607973471
13,Ancud,-41.87,-73.82,17.22,58,40,6.7,CL,1607973598
14,Hay River,60.82,-115.8,-31.0,67,20,1.5,CA,1607973598
15,Oneonta,42.45,-75.06,1.11,86,100,3.1,US,1607973599
16,Brooks,50.58,-111.89,-11.0,85,35,3.6,CA,1607973599
17,Cidreira,-30.18,-50.21,21.88,70,100,4.37,BR,1607974137
18,Sistranda,63.73,8.83,5.0,60,0,10.8,NO,1607973599
19,Poya,-21.35,165.15,24.48,83,0,2.4,NC,1607973599
20,Comacchio,44.7,12.19,6.0,87,2,1.0,IT,1607973599
21,Los Llanos de Aridane,28.66,-17.92,20.0,77,75,6.7,ES,1607973600
22,Fort Nelson,58.81,-122.7,-21.0,76,90,1.5,CA,1607973600
23,Alacranes,22.77,-81.57,28.0,65,40,2.1,CU,1607973600
24,Punta Arenas,-53.15,-70.92,9.0,49,40,14.9,CL,1607973600
25,Tuktoyaktuk,69.45,-133.04,-25.0,75,75,3.1,CA,1607973600
26,Saint-Philippe,-21.36,55.77,25.0,88,40,11.3,RE,1607973601
27,San Quintín,30.48,-115.95,17.71,63,0,9.65,MX,1607973601
28,Ati,13.22,18.34,27.5,15,0,4.01,TD,1607973601
29,Tuatapere,-46.13,167.68,12.22,84,8,6.26,NZ,1607973601
30,Pacific Grove,36.62,-121.92,11.11,71,1,2.1,US,1607973440
31,Hirara,24.8,125.28,19.36,85,100,13.68,JP,1607973602
32,Atuona,-9.8,-139.03,25.73,76,0,6.45,PF,1607973602
33,Beloha,-25.17,45.05,24.3,65,60,4.42,MG,1607973602
34,Forsytheganj,52.63,29.73,-0.37,99,100,0.85,BY,1607973602
35,Westport,41.14,-73.36,3.0,86,90,3.6,US,1607973486
36,Hermanus,-34.42,19.23,18.33,84,31,1.53,ZA,1607973603
37,Nador,35.17,-2.93,16.0,82,0,0.35,MA,1607973603
38,East London,-33.02,27.91,21.0,94,90,4.1,ZA,1607973603
39,Carnarvon,-24.87,113.63,21.0,77,0,9.3,AU,1607973603
40,Bennington,42.88,-73.2,1.0,86,90,1.5,US,1607973474
41,Hobart,-42.88,147.33,22.22,56,75,3.1,AU,1607973304
42,Broken Hill,-31.95,141.43,25.0,20,42,3.1,AU,1607973604
43,Kirakira,-10.45,161.92,26.43,80,90,1.85,SB,1607973604
44,Yuli,9.7,10.27,26.54,17,2,0.7,NG,1607973604
45,Hithadhoo,-0.6,73.08,27.7,76,98,6.19,MV,1607973604
46,Isangel,-19.55,169.27,26.14,81,100,8.94,VU,1607973605
47,Rikitea,-23.12,-134.97,24.08,74,35,3.45,PF,1607973605
48,Matagami,49.75,-77.63,-10.0,85,90,2.1,CA,1607973605
49,Ribeira Grande,38.52,-28.7,15.0,72,40,9.3,PT,1607973605
50,Grand Gaube,-20.01,57.66,25.56,83,0,2.24,MU,1607973606
51,Yar-Sale,66.83,70.83,-26.52,88,0,3.85,RU,1607973606
52,Derzhavīnsk,51.1,66.32,-15.87,91,0,2.79,KZ,1607973606
